"Time";"Angle 1.o/0/X";"Angle 1.o/0/Y";"Angle 1.a/0/X";"Angle 1.a/0/Y";"Angle 1.b/0/X";"Angle 1.b/0/Y";"Angle 1/o/X";"Angle 1/o/Y";"Angle 1/a/X";"Angle 1/a/Y";"Angle 1/b/X";"Angle 1/b/Y"
"8,7";"180,1562";"156,4636";"155,7985";"-34,30658";"17,44019";"140,153";"180,1562";"156,4636";"155,7985";"-34,30658";"17,44019";"140,153"
"8,733334";"178,9105";"156,8697";"156,0099";"-34,3894";"18,1377";"139,0251";"178,9105";"156,8697";"156,0099";"-34,3894";"18,1377";"139,0251"
"8,766666";"178,1089";"157,054";"155,6747";"-34,52161";"16,98389";"138,1931";"178,1089";"157,054";"155,6747";"-34,52161";"16,98389";"138,1931"
"8,8";"177,6767";"156,5466";"155,5635";"-34,61377";"17,13684";"139,1097";"177,6767";"156,5466";"155,5635";"-34,61377";"17,13684";"139,1097"
"8,833333";"177,7142";"156,6234";"154,94";"-34,95215";"16,79297";"141,163";"177,7142";"156,6234";"154,94";"-34,95215";"16,79297";"141,163"
"8,866667";"178,1227";"157,1035";"154,6191";"-34,8291";"16,97803";"144,0681";"178,1227";"157,1035";"154,6191";"-34,8291";"16,97803";"144,0681"
"8,9";"177,8207";"157,5252";"154,6368";"-35,02722";"19,16913";"147,8203";"177,8207";"157,5252";"154,6368";"-35,02722";"19,16913";"147,8203"
"8,933333";"178,2274";"158,2035";"154,8101";"-34,8183";"17,99695";"151,9249";"178,2274";"158,2035";"154,8101";"-34,8183";"17,99695";"151,9249"
"8,966666";"178,8096";"157,8746";"154,8474";"-34,72144";"16,96027";"157,0559";"178,8096";"157,8746";"154,8474";"-34,72144";"16,96027";"157,0559"
"9";"179,1382";"158,9537";"154,8783";"-34,78162";"18,40674";"162,7561";"179,1382";"158,9537";"154,8783";"-34,78162";"18,40674";"162,7561"
"9,033334";"179,9964";"158,8853";"155,2633";"-34,90546";"17,95209";"168,7285";"179,9964";"158,8853";"155,2633";"-34,90546";"17,95209";"168,7285"
"9,066667";"181,3536";"159,3133";"154,1124";"-35,19611";"18,12701";"175,7766";"181,3536";"159,3133";"154,1124";"-35,19611";"18,12701";"175,7766"
"9,1";"182,8825";"158,8643";"153,9136";"-34,98895";"20,12787";"183,1046";"182,8825";"158,8643";"153,9136";"-34,98895";"20,12787";"183,1046"
"9,133333";"183,9727";"159,0782";"153,8765";"-34,98279";"21,65204";"190,119";"183,9727";"159,0782";"153,8765";"-34,98279";"21,65204";"190,119"
"9,166667";"184,2728";"160,019";"153,6967";"-34,90479";"19,9743";"197,5958";"184,2728";"160,019";"153,6967";"-34,90479";"19,9743";"197,5958"
"9,2";"185,2203";"160,0618";"153,6896";"-34,87921";"20,44885";"205,1328";"185,2203";"160,0618";"153,6896";"-34,87921";"20,44885";"205,1328"
"9,233334";"186,1148";"159,9534";"153,674";"-34,88452";"23,11871";"212,3124";"186,1148";"159,9534";"153,674";"-34,88452";"23,11871";"212,3124"
"9,266666";"187,0202";"159,9133";"153,6706";"-34,90814";"25,82886";"219,1945";"187,0202";"159,9133";"153,6706";"-34,90814";"25,82886";"219,1945"
"9,3";"187,9954";"159,8917";"153,7086";"-34,96063";"28,50427";"226,1318";"187,9954";"159,8917";"153,7086";"-34,96063";"28,50427";"226,1318"
"9,333333";"189,1899";"160,1091";"153,6528";"-34,91956";"30,65118";"232,6324";"189,1899";"160,1091";"153,6528";"-34,91956";"30,65118";"232,6324"
"9,366667";"190,2156";"160,1215";"153,6867";"-35,0437";"35,61646";"238,6785";"190,2156";"160,1215";"153,6867";"-35,0437";"35,61646";"238,6785"
"9,4";"189,9556";"160,5299";"153,988";"-35,1319";"41,5697";"243,9374";"189,9556";"160,5299";"153,988";"-35,1319";"41,5697";"243,9374"
"9,433333";"189,8311";"160,533";"154,0406";"-35,11597";"47,66504";"249,1851";"189,8311";"160,533";"154,0406";"-35,11597";"47,66504";"249,1851"
"9,466666";"189,1791";"158,4335";"153,8253";"-34,84613";"54,84479";"255,3091";"189,1791";"158,4335";"153,8253";"-34,84613";"54,84479";"255,3091"
"9,5";"188,3456";"157,9753";"153,8243";"-34,83771";"59,36371";"260,1517";"188,3456";"157,9753";"153,8243";"-34,83771";"59,36371";"260,1517"
